,Column Labels,,,,,,,,,
,Sum of yConfirmed,,,,Sum of yDeaths,,,,Total Sum of yConfirmed,Total Sum of yDeaths
,Mar,Apr,May,Jun,Mar,Apr,May,Jun,,
Row Labels,,,,,,,,,,
Middle Atlantic  ,95806,375190,136349,35669,1165,32125,13747,3450,643014,50487
Northeast  ,95806,375190,136349,35669,1165,32125,13747,3450,643014,50487
New Jersey,15010,103642,41793,8697,20,7208,4470,1241,169142,12939
New York,75833,228539,66398,17166,1082,22505,6197,1341,387936,31125
Pennsylvania,4963,43009,28158,9806,63,2412,3080,868,85936,6423
East North Central  ,19247,116231,126596,50204,487,8020,7183,2959,312278,18649
Midwest  ,19247,116231,126596,50204,487,8020,7183,2959,312278,18649
Illinois,5976,46947,67342,16502,99,2257,3035,1257,136767,6648
Indiana,2158,15677,16739,7849,49,1065,1020,406,42423,2540
Michigan,7502,32337,13480,10142,259,3486,1673,599,63461,6017
Ohio,2199,15828,17486,9295,55,921,1179,545,44808,2700
Wisconsin,1412,5442,11549,6416,25,291,276,152,24819,744
New England  ,10570,92144,59406,16800,160,6100,5638,1612,178920,13510
Northeast  ,10570,92144,59406,16800,160,6100,5638,1612,178920,13510
Connecticut,3051,24649,14501,3554,67,2190,1687,316,45755,4260
Maine,297,798,1230,632,5,48,36,13,2957,102
Massachusetts,6279,55898,34748,10134,80,3481,3284,1012,107059,7857
New Hampshire,357,1898,2505,893,3,71,173,94,5653,341
Rhode Island,304,8317,6307,1409,0,266,452,176,16337,894
Vermont,282,584,115,178,5,44,6,1,1159,56
South Atlantic  ,17104,107590,136992,122105,280,4884,5673,2657,383791,13494
South  ,17104,107590,136992,122105,280,4884,5673,2657,383791,13494
Delaware,319,4415,4764,1277,7,145,214,69,10775,435
District of Columbia,597,3828,4478,1219,11,215,242,67,10122,535
Florida,6739,26958,22473,41128,84,1184,1183,710,97298,3161
Georgia,3761,22504,20799,17638,110,1022,921,590,64702,2643
Maryland,1660,20082,31036,11528,18,1122,1475,534,64306,3149
North Carolina,1535,9220,18031,22605,12,396,531,278,51391,1217
South Carolina,1083,5012,5766,12800,22,222,250,159,24661,653
Virginia,1248,14608,28760,13387,15,537,823,236,58003,1611
West Virginia,162,963,885,523,1,41,34,14,2533,90
Pacific  ,14375,53645,71108,76384,417,2559,2499,1533,215512,7008
West  ,14375,53645,71108,76384,417,2559,2499,1533,215512,7008
Alaska,118,246,104,293,1,8,1,2,761,12
California,8210,41920,61821,66595,173,1860,2141,1343,178546,5517
Hawaii,191,429,34,162,0,16,1,0,816,17
Oregon,690,1820,1733,2329,18,86,50,35,6572,189
Washington,5166,9230,7416,7005,225,589,306,153,28817,1273
West South Central  ,9963,54269,54612,70560,316,2689,1933,957,189404,5895
South  ,9963,54269,54612,70560,316,2689,1933,957,189404,5895
Arkansas,489,2792,3972,8308,5,56,72,92,15561,225
Louisiana,5216,22788,11915,9862,235,1670,886,314,49781,3105
Oklahoma,566,3082,2800,4098,23,199,112,35,10546,369
Texas,3692,25607,35925,48292,53,764,863,516,113516,2196
Mountain  ,7056,32027,24196,51791,127,1458,1539,881,115070,4005
West  ,7056,32027,24196,51791,127,1458,1539,881,115070,4005
Arizona,1289,6366,12281,32655,11,309,587,442,52591,1349
Colorado,2837,12447,11205,4160,68,710,668,202,30649,1648
Idaho,515,1478,855,1167,8,52,22,7,4015,89
Montana,198,255,62,202,5,11,1,3,717,20
Nevada,1031,4051,3584,4648,26,218,174,70,13314,488
New Mexico,199,3258,4600,3128,4,120,235,116,11185,475
Utah,878,3722,-8735,5537,5,31,-157,37,1402,-84
Wyoming,109,450,344,294,0,7,9,4,1197,20
West North Central  ,3194,28581,56268,26925,46,1033,1764,849,114968,3692
Midwest  ,3194,28581,56268,26925,46,1033,1764,849,114968,3692
Iowa,495,6651,12407,6411,6,156,373,151,25964,686
Kansas,434,3980,5288,2436,9,125,81,42,12138,257
Minnesota,628,4516,19715,8070,9,334,707,362,32929,1412
Missouri,1238,6035,4983,4282,15,319,416,185,16538,935
Nebraska,169,4113,9821,3711,3,67,100,74,17814,244
North Dakota,122,945,1510,711,3,16,42,16,3288,77
South Dakota,108,2341,2544,1304,1,16,45,19,6297,81
East South Central  ,4432,24931,36399,33769,56,921,1187,670,99531,2834
South  ,4432,24931,36399,33769,56,921,1187,670,99531,2834
Alabama,987,6102,10864,12069,15,262,358,209,30022,844
Kentucky,615,4106,4996,4046,9,231,191,95,13763,526
Mississippi,937,5878,8708,5118,20,241,473,204,20641,938
Tennessee,1893,8845,11831,12536,12,187,165,162,35105,526
Grand Total,181747,884608,701926,484207,3054,59789,41163,15568,2252488,119574
