Row Labels,Reported Deaths,Confirmed Cases,Confirmed - 5 Day Moving Avg.,Sum of Confirmed_7MA
Oklahoma,367,9737,8950.4,8648.857143
Mar,,,,
22-Mar,2,67,,
23-Mar,0,14,,
24-Mar,1,25,,
25-Mar,2,58,,
26-Mar,2,84,49.6,
27-Mar,1,74,51,
28-Mar,7,55,59.2,53.85714286
29-Mar,1,52,64.6,51.71428571
30-Mar,0,52,63.4,57.14285714
31-Mar,7,85,63.6,65.71428571
Apr,,,,
1-Apr,6,153,79.4,79.28571429
2-Apr,5,160,100.4,90.14285714
3-Apr,4,111,111.8,95.14285714
4-Apr,4,172,135.6,111.7142857
5-Apr,4,93,137.4,117.7142857
6-Apr,5,75,121.8,121
7-Apr,16,145,119,129.4285714
8-Apr,12,52,107.4,115
9-Apr,1,160,105,115.2857143
10-Apr,8,108,108,115
11-Apr,6,74,107.8,101
12-Apr,2,102,99.2,102.2857143
13-Apr,3,99,108.6,105.7142857
14-Apr,9,115,99.6,101.4285714
15-Apr,15,79,93.8,105.2857143
16-Apr,8,94,97.8,95.85714286
17-Apr,5,108,99,95.85714286
18-Apr,0,0,79.2,85.28571429
19-Apr,4,131,81.6,88.42857143
20-Apr,3,113,89.6,92
21-Apr,21,127,96.2,93
22-Apr,6,87,91.6,94.57142857
23-Apr,9,123,116.2,98.71428571
24-Apr,9,104,111,98
25-Apr,6,73,103,108.4285714
26-Apr,1,60,89.4,98.28571429
27-Apr,2,27,77.4,86
28-Apr,10,129,78.6,86.14285714
29-Apr,7,63,70.4,82.71428571
30-Apr,8,145,84.8,85.85714286
May,,,,
1-May,8,130,98.8,89.57142857
2-May,8,103,114,93.85714286
3-May,0,121,112.4,102.5714286
4-May,0,72,114.2,109
5-May,9,83,101.8,102.4285714
6-May,6,75,90.8,104.1428571
7-May,7,128,95.8,101.7142857
8-May,6,94,90.4,96.57142857
9-May,4,66,89.2,91.28571429
10-May,2,99,92.4,88.14285714
11-May,2,24,82.2,81.28571429
12-May,4,119,80.4,86.42857143
13-May,0,126,86.8,93.71428571
14-May,6,105,94.6,90.42857143
15-May,1,124,99.6,94.71428571
16-May,3,150,124.8,106.7142857
17-May,0,73,115.6,103
18-May,0,88,108,112.1428571
19-May,5,91,105.2,108.1428571
20-May,6,43,89,96.28571429
21-May,5,148,88.6,102.4285714
22-May,3,169,107.8,108.8571429
23-May,4,111,112.4,103.2857143
24-May,0,77,109.6,103.8571429
25-May,2,53,111.6,98.85714286
26-May,5,48,91.6,92.71428571
27-May,4,91,76,99.57142857
28-May,3,44,62.6,84.71428571
29-May,4,65,60.2,69.85714286
30-May,5,80,65.6,65.42857143
31-May,0,0,56,54.42857143
Jun,,,,
1-Jun,0,155,68.8,69
2-Jun,5,119,83.8,79.14285714
3-Jun,2,113,93.4,82.28571429
4-Jun,3,102,97.8,90.57142857
5-Jun,1,100,117.8,95.57142857
6-Jun,2,52,97.2,91.57142857
7-Jun,1,91,91.6,104.5714286
8-Jun,0,55,80,90.28571429
9-Jun,6,158,91.2,95.85714286
10-Jun,2,120,95.2,96.85714286
11-Jun,2,143,113.4,102.7142857
12-Jun,2,223,139.8,120.2857143
13-Jun,-1,224,173.6,144.8571429
14-Jun,0,158,173.6,154.4285714
15-Jun,0,186,186.8,173.1428571
16-Jun,4,228,203.8,183.1428571
17-Jun,1,259,211,203
18-Jun,2,451,256.4,247
19-Jun,1,352,295.2,265.4285714
Grand Total,367,9737,8950.4,8648.857143
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
